area,lat,long
netherlands,52.5001698,5.7480821
south korea,36.5581914,127.9408564
united states,39.7837304,-100.4458825
taiwan,23.59829785,120.835363138175
china,35.000074,104.999927
singapore,1.340863,103.830391822121
canada,61.0666922,-107.9917071
israel,30.8760272,35.0015196
belgium,50.6402809,4.6667145
japan,36.5748441,139.2394179
luxembourg,49.8158683,6.1296751
united kingdom,54.7023545,-3.2765753
hong kong,22.2793278,114.1628131
spain,39.3262345,-4.8380649
mexico,19.4326009,-99.1333416
korea,36.5581914,127.9408564
philippines,12.7503486,122.7312101
slovakia,48.7411522,19.4528646
italy,42.6384261,12.674297
ireland,52.865196,-7.9794599
germany,51.0834196,10.4234469
haiti,19.1399952,-72.3570972
france,46.603354,1.8883335
india,22.3511148,78.6677428
nigeria,9.6000359,7.9999721
brazil,-10.3333333,-53.2
egypt,26.2540493,29.2675469
iraq,33.0955793,44.1749775
korea - republic of,36.5581914,127.9408564
kosovo,42.5869578,20.9021231
vietnam,13.2904027,108.4265113
australia,-24.7761086,134.755
czech republic,49.8167003,15.4749544
south africa,-28.8166236,24.991639
malaysia,4.5693754,102.2656823
indonesia,-2.4833826,117.8902853
finland,63.2467777,25.9209164
turkey,38.9597594,34.9249653
ukraine,49.4871968,31.2718321
colombia,2.8894434,-73.783892
sweden,59.6749712,14.5208584
angola,-11.8775768,17.5691241
argentina,-34.9964963,-64.9672817
austria,47.2000338,13.199959
bhutan,27.549511,90.5119273
cape verde,16.0000552,-24.0083947
cayman islands,19.5417212,-80.5667132
denmark,55.670249,10.3333283
ghana,8.0300284,-1.0800271
greece,38.9953683,21.9877132
hungary,47.1817585,19.5060937
kenya,1.4419683,38.4313975
latvia,56.8406494,24.7537645
lithuania,55.3500003,23.7499997
madagascar,-18.9249604,46.4416422
malawi,-13.2687204,33.9301963
mozambique,-19.302233,34.9144977
nicaragua,12.3724928,-84.8700308
norway,64.5731537,11.5280364395482
pakistan,30.3308401,71.247499
peru,-6.8699697,-75.0458515
poland,52.215933,19.134422
portugal,40.033265,-7.8896263
romania,45.9852129,24.6859225
russia,64.6863136,97.7453061
senegal,14.4750607,-14.4529612
serbia,44.02432285,21.076574332099
switzerland,46.7985624,8.2319736
uganda,1.5333554,32.2166578
united arab emirates,24.0002488,53.9994829
estonia,58.7523778,25.3319078
jordan,31.1667049,36.941628
libya,26.8234472,18.1236723
algeria,28.0000272,2.9999825
albania,41.000028,19.9999619
afghanistan,33.7680065,66.2385139
morocco,31.1728205,-7.3362482
iran,32.9407495,52.9471344
saudi arabia,25.6242618,42.3528328
croatia,45.5643442,17.0118954
chile,-31.7613365,-71.3187697
